"id","cell"
"ENSG00000172113","7316_158_S"
"ENSG00000123684","7316_158_S"
"ENSG00000141012","7316_158_S"
"ENSG00000051341","7316_158_S"
"ENSG00000165672","7316_158_S"
"ENSG00000168000","7316_158_S"
"ENSG00000141698","7316_158_S"
"ENSG00000113569","7316_158_S"
"ENSG00000170190","7316_158_S"
"ENSG00000076201","7316_158_S"
"ENSG00000109685","7316_158_S"
"ENSG00000106462","7316_158_S"
"ENSG00000213639","7316_158_S"
"ENSG00000127884","7316_158_S"
"ENSG00000159593","7316_158_S"
"ENSG00000164889","7316_158_S"
"ENSG00000181045","7316_158_S"
"ENSG00000120992","7316_158_S"
"ENSG00000124789","7316_158_S"
"ENSG00000110066","7316_158_S"
"ENSG00000112367","7316_158_S"
"ENSG00000133315","7316_158_S"
"ENSG00000102030","7316_158_S"
"ENSG00000108468","7316_158_S"
"ENSG00000159720","7316_158_S"
"ENSG00000171608","7316_158_S"
"ENSG00000221988","7316_158_S"
"ENSG00000138031","7316_158_S"
"ENSG00000167815","7316_158_S"
"ENSG00000126883","7316_158_S"
"ENSG00000185825","7316_158_S"
"ENSG00000116539","7316_158_S"
"ENSG00000159692","7316_158_S"
"ENSG00000102312","7316_158_S"
"ENSG00000185344","7316_158_S"
"ENSG00000111445","7316_158_S"
"ENSG00000135241","7316_158_S"
"ENSG00000081721","7316_158_S"
"ENSG00000118058","7316_158_S"
"ENSG00000133835","7316_158_S"
"ENSG00000134202","7316_158_S"
"ENSG00000185883","7316_158_S"
"ENSG00000166747","7316_158_S"
"ENSG00000146648","7316_158_S"
"ENSG00000126821","7316_158_S"
"ENSG00000143387","7316_158_S"
"ENSG00000138750","7316_158_S"
"ENSG00000196950","7316_158_S"
"ENSG00000084112","7316_158_S"
"ENSG00000136169","7316_158_S"
"ENSG00000137770","7316_158_S"
"ENSG00000167733","7316_158_S"
"ENSG00000157045","7316_158_S"
"ENSG00000159899","7316_158_S"
"ENSG00000139496","7316_158_S"
"ENSG00000139718","7316_158_S"
"ENSG00000034152","7316_158_S"
"ENSG00000106636","7316_158_S"
"ENSG00000143379","7316_158_S"
"ENSG00000139505","7316_158_S"
"ENSG00000187531","7316_158_S"
"ENSG00000132382","7316_158_S"
"ENSG00000153201","7316_158_S"
"ENSG00000168765","7316_158_S"
"ENSG00000110583","7316_158_S"
"ENSG00000171320","7316_158_S"
"ENSG00000140521","7316_158_S"
"ENSG00000155561","7316_158_S"
"ENSG00000174080","7316_158_S"
"ENSG00000163002","7316_158_S"
"ENSG00000121579","7316_158_S"
"ENSG00000134910","7316_158_S"
"ENSG00000108861","7316_158_S"
"ENSG00000101224","7316_158_S"
"ENSG00000165671","7316_158_S"
"ENSG00000167107","7316_158_S"
"ENSG00000256525","7316_158_S"
