"id","cell"
"ENSG00000256525","ACH-000002"
"ENSG00000213024","ACH-000002"
"ENSG00000110536","ACH-000002"
"ENSG00000181090","ACH-000002"
"ENSG00000213366","ACH-000002"
"ENSG00000181555","ACH-000002"
"ENSG00000165688","ACH-000002"
"ENSG00000147162","ACH-000002"
"ENSG00000112679","ACH-000002"
"ENSG00000183955","ACH-000002"
"ENSG00000135372","ACH-000002"
"ENSG00000115241","ACH-000002"
"ENSG00000119414","ACH-000002"
"ENSG00000204371","ACH-000002"
"ENSG00000038382","ACH-000002"
"ENSG00000211456","ACH-000002"
"ENSG00000112245","ACH-000002"
"ENSG00000076984","ACH-000002"
"ENSG00000077782","ACH-000002"
"ENSG00000122484","ACH-000002"
"ENSG00000058729","ACH-000002"
"ENSG00000163527","ACH-000002"
"ENSG00000092445","ACH-000002"
"ENSG00000156599","ACH-000002"
"ENSG00000096968","ACH-000002"
"ENSG00000060237","ACH-000002"
"ENSG00000097007","ACH-000002"
"ENSG00000065243","ACH-000002"
"ENSG00000103653","ACH-000002"
"ENSG00000065883","ACH-000002"
"ENSG00000067900","ACH-000002"
"ENSG00000141298","ACH-000002"
"ENSG00000173418","ACH-000002"
"ENSG00000174165","ACH-000002"
"ENSG00000069956","ACH-000002"
"ENSG00000144579","ACH-000002"
"ENSG00000149923","ACH-000002"
"ENSG00000112742","ACH-000002"
"ENSG00000143851","ACH-000002"
"ENSG00000180776","ACH-000002"
"ENSG00000072518","ACH-000002"
"ENSG00000160075","ACH-000002"
"ENSG00000122025","ACH-000002"
"ENSG00000188818","ACH-000002"
"ENSG00000204160","ACH-000002"
"ENSG00000170836","ACH-000002"
"ENSG00000140443","ACH-000002"
"ENSG00000175215","ACH-000002"
"ENSG00000086015","ACH-000002"
"ENSG00000184203","ACH-000002"
"ENSG00000164045","ACH-000002"
"ENSG00000087586","ACH-000002"
"ENSG00000089022","ACH-000002"
"ENSG00000096063","ACH-000002"
"ENSG00000179295","ACH-000002"
"ENSG00000157404","ACH-000002"
"ENSG00000097046","ACH-000002"
"ENSG00000184007","ACH-000002"
"ENSG00000157540","ACH-000002"
"ENSG00000162434","ACH-000002"
"ENSG00000100030","ACH-000002"
"ENSG00000100749","ACH-000002"
"ENSG00000196396","ACH-000002"
"ENSG00000101266","ACH-000002"
"ENSG00000104375","ACH-000002"
"ENSG00000176444","ACH-000002"
"ENSG00000105221","ACH-000002"
"ENSG00000105810","ACH-000002"
"ENSG00000108443","ACH-000002"
"ENSG00000108946","ACH-000002"
"ENSG00000110931","ACH-000002"
"ENSG00000112062","ACH-000002"
"ENSG00000112739","ACH-000002"
"ENSG00000113712","ACH-000002"
"ENSG00000114302","ACH-000002"
"ENSG00000117676","ACH-000002"
"ENSG00000118046","ACH-000002"
"ENSG00000118515","ACH-000002"
"ENSG00000120539","ACH-000002"
"ENSG00000122966","ACH-000002"
"ENSG00000123374","ACH-000002"
"ENSG00000124784","ACH-000002"
"ENSG00000125651","ACH-000002"
"ENSG00000125834","ACH-000002"
"ENSG00000126934","ACH-000002"
"ENSG00000127564","ACH-000002"
"ENSG00000128829","ACH-000002"
"ENSG00000129465","ACH-000002"
"ENSG00000130175","ACH-000002"
"ENSG00000130669","ACH-000002"
"ENSG00000132356","ACH-000002"
"ENSG00000134058","ACH-000002"
"ENSG00000134318","ACH-000002"
"ENSG00000135250","ACH-000002"
"ENSG00000135341","ACH-000002"
"ENSG00000135446","ACH-000002"
"ENSG00000135503","ACH-000002"
"ENSG00000136807","ACH-000002"
"ENSG00000137193","ACH-000002"
"ENSG00000137601","ACH-000002"
"ENSG00000140992","ACH-000002"
"ENSG00000141551","ACH-000002"
"ENSG00000142208","ACH-000002"
"ENSG00000142731","ACH-000002"
"ENSG00000146872","ACH-000002"
"ENSG00000147133","ACH-000002"
"ENSG00000148660","ACH-000002"
"ENSG00000149269","ACH-000002"
"ENSG00000149311","ACH-000002"
"ENSG00000149554","ACH-000002"
"ENSG00000156970","ACH-000002"
"ENSG00000157106","ACH-000002"
"ENSG00000160584","ACH-000002"
"ENSG00000162302","ACH-000002"
"ENSG00000163349","ACH-000002"
"ENSG00000163558","ACH-000002"
"ENSG00000165304","ACH-000002"
"ENSG00000166333","ACH-000002"
"ENSG00000166483","ACH-000002"
"ENSG00000166851","ACH-000002"
"ENSG00000167258","ACH-000002"
"ENSG00000168067","ACH-000002"
"ENSG00000169032","ACH-000002"
"ENSG00000169679","ACH-000002"
"ENSG00000170145","ACH-000002"
"ENSG00000170312","ACH-000002"
"ENSG00000172071","ACH-000002"
"ENSG00000172315","ACH-000002"
"ENSG00000172939","ACH-000002"
"ENSG00000173327","ACH-000002"
"ENSG00000175054","ACH-000002"
"ENSG00000178950","ACH-000002"
"ENSG00000178999","ACH-000002"
"ENSG00000180370","ACH-000002"
"ENSG00000185324","ACH-000002"
"ENSG00000186716","ACH-000002"
"ENSG00000196455","ACH-000002"
"ENSG00000198586","ACH-000002"
"ENSG00000198648","ACH-000002"
"ENSG00000204435","ACH-000002"
"ENSG00000162882","ACH-000002"
"ENSG00000142657","ACH-000002"
"ENSG00000187630","ACH-000002"
"ENSG00000004455","ACH-000002"
"ENSG00000085231","ACH-000002"
"ENSG00000106992","ACH-000002"
"ENSG00000162433","ACH-000002"
"ENSG00000273841","ACH-000002"
